column,dtype,description,unique_values,example_values
scenario,str | None,Human-readable name of the scenario,3,Ampol-1p5DS; Ampol-2p5DS; Ampol-House-View
variable,<class 'str'>,AusTIMES variable name,4,capacity; consumption; new_capacity; production
process,<class 'str'>,Name of the AusTIMES process to which the value applies,2254,Alternative Fuel Kiln; Ball Mill Cement Grinder; Boiler Natural Gas; Boiler Natural Gas with CCS; CEE_Age_Care-ec; CEE_Age_Care-ei; CEE_Age_Care-el; CEE_Age_Care-ga; CEE_Age_Care-gh; CEE_Age_Care-gw; ...
process_desc,str | None,Human readable description of the process. Read from Items List-Process*.xlsx,2218,INMcem_Alternative Fuel Kiln; INMcem_Ball Mill CemGrind; Imalum_blr_Natural Gas; IMal_blr_Natural Gas; Imalum_blr_Natural Gas with CCS; IMal_blr_Natural Gas with CCS; Commercial EE - Age_Care-ec; Commercial EE - Age_Care-ei; Commercial EE - Age_Care-el; Commercial EE - Age_Care-ga; ...
commodity,str | None,Improved version of commodity which ignores fake internal commodities,99,Biomass; Clay; Electricity; Limestone; Alumina; Sponge Iron; Clinker; Gypsum; Natural Gas; Water; ...
unit,<class 'str'>,SI (or similar) unit of the variable,12,kt/yr; GW; KT-YR; vehicles; PJ; kt; TWh; GVA; ML; dwellings; ...
sector0,str | None,"Sector associated with the process, level 0",8,Industry; Buildings; Power Generation; Carbon Dioxide Removal; Land Use; Hydrogen Production; Transport
sector1,str | None,"Sector associated with the process, level 1",14,Manufacturing; Commercial; Direct Air Capture; Mining; Agriculture; Other Industry; Forestry & Logging; Chemicals; Residential; Sequestration; ...
sector2,str | None,"Sector associated with the process, level 2",67,Cement; Alumina; Aluminium; Aged Care; Data Centre; Hospital; Hotel; Law Court; Office; Public Building; ...
technology0,str | None,"Technology associated with the process, level 0",6,Storage; Generation; Hydrogen Production; Road Transport; Hydrogen Storage
technology1,str | None,"Technology category of process, level 1",16,Battery; Turbine; Engine; Hydro Plant; Solar; Wind; Hydro Storage; Combustion Engine; Fuel Cell Vehicle; Hybrid; ...
technology2,str | None,"Technology category of process, level 2",21,Commercial Battery; Utility Battery; Closed Cycle Gas Turbine (CCGT); Cogeneration; Integrated Solar Boost; Reciprocating Engine; Open Cycle Gas Turbine (OCGT); Utility Solar; Steam; Solar Thermal; ...
end_use,str | None,End use associated with the process,11,Cooling; IT & Equipment; Lighting; Appliances; Heating; Water Heating; Space Conditioning; Cooking; Other Use; Vertical Transport
fuel0,str | None,"Fuel associated with the commodity, level 0",9,Oil; Gas; Coal; Electricity/Gas; Biofuel; Electricity; Other; Blended
fuel1,str | None,"Fuel associated with the commodity, level 1",29,Oil Distillate; Hydrogen; Landfill Gas; Brown Coal; Black Coal; Natural Gas; Hydrogen/Natural Gas; Electricity/Natural Gas; Biomass; Electricity; ...
commodity_type,str | None,Broad type of commodity,7,Fuel; Feedstock; Captured Emissions; Service; Combustion Emissions; Process Emissions
state,str | None,Australian state name,8,NSW; NT; QLD; SA; TAS; VIC; WA; ACT
jurisdiction,str | None,Domestic or international jurisdiction,2,Domestic; International
source,str | None,Source of hydrogen,3,Direct supply; Blending
